,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
,"Invoice","10/10/2022","523348","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER DILLONS:KRODI56 (DO NOT SHIP)","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total KRODI56 (DO NOT SHIP)",,,,,,,48,,,206.40,206.40
"KRODI70 (DO NOT SHIP)",,,,,,,,,,,""
,"Invoice","10/04/2022","522780","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER DILLONS:KRODI70 (DO NOT SHIP)","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/04/2022","522780","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER DILLONS:KRODI70 (DO NOT SHIP)","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/04/2022","522780","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER DILLONS:KRODI70 (DO NOT SHIP)","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total KRODI70 (DO NOT SHIP)",,,,,,,48,,,206.40,206.40
"KRODI73 (DO NOT SHIP)",,,,,,,,,,,""
,"Invoice","10/04/2022","522779","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER DILLONS:KRODI73 (DO NOT SHIP)","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/04/2022","522779","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER DILLONS:KRODI73 (DO NOT SHIP)","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/04/2022","522779","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER DILLONS:KRODI73 (DO NOT SHIP)","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total KRODI73 (DO NOT SHIP)",,,,,,,48,,,206.40,206.40
"KRODI83 (DO NOT SHIP)",,,,,,,,,,,""
,"Invoice","10/10/2022","523344","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KROGER CORPORATE:KROGER DILLONS:KRODI83 (DO NOT SHIP)","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","10/10/2022","523344","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KROGER CORPORATE:KROGER DILLONS:KRODI83 (DO NOT SHIP)","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","10/10/2022","523344","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KROGER CORPORATE:KROGER DILLONS:KRODI83 (DO NOT SHIP)","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total KRODI83 (DO NOT SHIP)",,,,,,,40,,,420.00,420.00
"KRODI94 (DO NOT SHIP)",,,,,,,,,,,""
,"Invoice","10/04/2022","522776","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KROGER CORPORATE:KROGER DILLONS:KRODI94 (DO NOT SHIP)","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","10/04/2022","522776","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KROGER CORPORATE:KROGER DILLONS:KRODI94 (DO NOT SHIP)","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","10/04/2022","522776","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KROGER CORPORATE:KROGER DILLONS:KRODI94 (DO NOT SHIP)","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total KRODI94 (DO NOT SHIP)",,,,,,,40,,,420.00,420.00
"KRODI95 (DO NOT SHIP)",,,,,,,,,,,""
,"Invoice","10/04/2022","522777","810312-023846 / #23846 PRINTED JEGGING S-M (J4660)","KROGER CORPORATE:KROGER DILLONS:KRODI95 (DO NOT SHIP)","LIPDJ301-AY (810312-023846 / #23846 PRINTED JEGGING S-M (J4660))",13,"EA",10.50,136.50,136.50
,"Invoice","10/04/2022","522777","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)","KROGER CORPORATE:KROGER DILLONS:KRODI95 (DO NOT SHIP)","LIPDJ302-AY (810312-023853/ #23853 PRINTED JEGGING L-XL (J4660))",23,"EA",10.50,241.50,378.00
,"Invoice","10/04/2022","522777","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)","KROGER CORPORATE:KROGER DILLONS:KRODI95 (DO NOT SHIP)","LIPDJ303-AY (810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660))",4,"EA",10.50,42.00,420.00
"Total KRODI95 (DO NOT SHIP)",,,,,,,40,,,420.00,420.00
"Total KROGER DILLONS",,,,,,,472,,,3765.60,3765.60
"Total KROGER CORPORATE",,,,,,,472,,,3765.60,3765.60
"TOTAL",,,,,,,472,,,3765.60,3765.60
